"","IssuerCompany","QIB","NII","RII","EMP","Total","OpenPrice","LowPrice","HighPrice","ClosePrice","ListingGains"
"195","Tulsi Extrusions Limited",1.5406,3.1076,2.4597,1.0673,2,93.45,93.45,143.45,139.5,64.12
"196","Shriram EPC Limited",6.1322,0.4108,0.6291,NA,3.91,290,281.05,374.7,293.6,-2.13
"197","Globus Spirits Limited",0.859,4.7604,1.0264,0.9632,1.5,110,89.3,111.3,90.75,-9.25
"198","Bang Overseas Limited",1.1412,1.8055,1.1712,1.0146,1.24,207,166.5,260,171.8,-17
"199","KNR Constructions Limited",1.375,3.2059,0.2772,0.6113,1.25,180,151.15,199,154.35,-14.25
"200","IRB Infrastructure Developers Ltd",6.4215,1.5577,0.9897,0.9432,4.3,170.05,167.3,209,189.05,2.19
"201","OnMobile Global Limited",17.1605,2.6258,1.308,NA,10.95,440,421,579.9,521.9,18.61
"202","Cords Cable Industries Limited",6.8271,5.1132,2.5818,1.0143,4.99,130,113,151,138.3,2.44
"203","J Kumar Infraprojects Limited",2.8044,1.3996,1.6936,1.1069,2.17,100,84.2,116.95,102.7,-6.64
"204","Future Capital Holdings Ltd",180.7221,84.3815,55.2187,NA,133.44,1044,826.1,1100,908.2,18.72
"205","Precision Pipes and Profiles Company Ltd",5.0343,8.5824,18.7003,NA,10.35,160,132.6,175,138.65,-7.57
"206","Manaksia Limited",13.6961,2.7275,5.0906,0.0492,8.98,200,161.55,248.7,168.1,5.06
"207","Porwal Auto Components Limited",0.2124,0.479,2.4435,NA,1.03,79.85,76,120,79.65,6.2
"208","Aries Agro Limited",8.1593,8.5096,6.464,NA,7.62,150,150,261,251.6,93.54
"209","Brigade Enterprises Limited",18.2861,4.8861,5.5945,1.4566,13.07,399.7,365.8,409.4,378.55,-2.94
"210","Transformers and Rectifiers India Ltd",110.5296,121.6963,58.6145,1.0011,91.31,701.1,685.2,813.75,728,56.56
"211","eClerx Services Limited",31.5913,36.3634,12.3786,NA,26.3,320,320,466.8,448.3,42.32
"212","BGR Energy Systems Limited",161.6744,153.0816,46.8934,1.456,119.54,801,801,940,901.3,87.77
"213","Burnpur Cement Limited",0,0,0,0,0,18.45,17.8,49,46.35,286.25
"214","Kaushalya Infrastructure Dev Corp Ltd",2.8427,17.2745,10.1539,1.0044,7.2,67.9,63.6,84.2,82.25,37.08
"215","Jyothi Laboratories Limited",66.4123,49.8987,14.6718,NA,45.83,799,752.6,880,793.7,15.03
"216","Renaissance Jewellery Limited",23.1286,55.9297,10.5095,NA,23.63,190,163,200,164.8,9.87
"217","Kolte-Patil Developers Limited",60.9707,68.8115,16.5772,3.1485,46.18,220,175,223.9,181.45,25.14
"218","Edelweiss Capital Limited",153.1465,164.3048,17.2171,10.1774,110.96,1443.75,1443.75,1608.75,1509.95,83.02
"219","Empee Distilleries Limited",8.7668,2.3058,6.1082,NA,6.87,400,301,489,317.9,-20.53
"220","Barak Valley Cements Ltd",24.1719,25.5093,39.4721,0.908,29.15,65,53.1,72,56.05,33.45
"221","Varun Industries Limited",0,0,0,0,0,105,94.2,150,112.65,87.75
"222","Mundra Port and Special Economic Zone Ltd",159.5971,156.4517,16.1941,2.3505,115.84,770,770,1150,961.7,118.57
"223","Religare Enterprises Limited",184.9493,215.4472,93.5018,NA,160.56,323.75,323.75,600,521.7,182
"224","Rathi Bars Ltd",0,0,0,0,0,38,31,45,31.9,-8.86
"225","Reliance Power Limited",82.619,190.0231,14.8716,NA,73.04,547.8,355.05,599.9,372.5,-17.22
"226","Maytas Infra Limited",99.4094,35.8444,15.4177,NA,67.86,480,480,637.7,614.3,66.03
"227","Saamya Biotech India Ltd",0,0,0,0,0,17.5,13.85,24.35,15.3,53
"228","Supreme Infrastructure India Ltd",52.108,65.4279,48.2283,NA,52.75,189,167.15,224,175.25,62.27
"229","Circuit Systems (India) Ltd",0,0,0,0,0,42,40.05,59,43.5,24.29
"230","Consolidated Construction Consortium Ltd",117.6797,67.6202,12.6906,NA,81.18,801,736.2,825.25,791.45,55.19
"231","Koutons Retail India Limited",66.3762,18.8385,14.8192,1.119,45.52,515,649,515,590.45,42.28
"232","Dhanus Technologies Limited",36.173,26.7306,18.668,1.0314,28.47,300.2,251.6,350,311.15,5.47
"233","Kaveri Seed Company Limited",5.5867,5.0456,3.2623,0.9954,4,201.15,201.15,262,230.1,35.35
"234","Allied Computers International (Asia) Ltd",0,0,0,0,0,21,21,41.25,37.7,214.17
"235","Power Grid Corporation of India Ltd.",115.9031,40.3413,6.7678,2.6571,64.82,85,85,109.4,100.65,93.56
"236","Magnum Ventures Limited",2.3434,3.9228,3.3854,NA,2.95,36.95,36.95,66.7,48.7,62.33
"237","Indowind Energy Limited",0.897,0.8505,1.1211,1.0462,0.97,80.25,55.1,124.5,114.05,75.46
"238","Motilal Oswal Financial Services Ltd",43.9028,10.2605,4.4401,1.7509,27.41,999,913,999,977.45,18.48
"239","K.P.R. Mill Limited",1.4417,2.0752,0.3903,NA,1.19,201.2,169.1,209.8,173.5,-22.89
"240","TAKE Solutions Limited",75.6249,100.098,23.3936,1.051,59.48,876,839.15,943.3,926.5,26.92
"241","Puravankara Projects Limited",2.6927,0.9889,0.6389,NA,1.91,399,357.55,399,361.75,-9.56
"242","SEL Manufacturing Company Ltd",4.0951,3.1229,3.5539,0.9863,3.62,87.9,80,157.5,142.8,58.67
"243","Asian Granito India Ltd",3.0964,10.0061,4.6581,1.3766,4.51,100.15,82.1,103.35,94.75,-2.32
"244","IVR Prime Urban Developers Ltd",8.5974,1.8521,1.5404,0.7197,5.75,500,388,500,418.15,-23.97
"245","Zylog Systems Limited",89.5541,143.9542,35.133,1.1056,76.51,525,356.2,525,431.1,23.17
"246","Refex Refrigerants Limited",0,0,0,0,0,69.1,61.05,73.8,62,-4.62
"247","Central Bank of India",89.1157,69.5761,16.2027,0.9599,62,130.1,114,133.25,115.4,13.14
"248","Omnitech InfoSolutions Limited",61.7547,108.6629,50.9535,1.5926,61.84,183.75,155,183.75,164.55,56.71
"249","Simplex Projects Limited",90.4452,153.7979,49.2625,NA,85.53,323.75,266.7,323.75,272.05,47.05
"250","Alpa Laboratories Limited",0.1789,1.9922,2.1404,0.0092,1.11,60,54,65,55.6,-18.24
"251","Omaxe Limited",95.3232,81.1579,13.8917,1.1357,68.34,400,341.5,410,349.95,12.89
"252","Allied Digital Services Limited",74.0398,88.6939,38.0776,0.8215,60.87,332.5,309.5,370.5,331.8,74.63
"253","Everonn Systems India Limited",92.9454,277.8083,123.8025,NA,131.47,245,245,560,478.45,241.75
