"","RegistrarName","IssuerCompany"
"140","Link Intime India Private Ltd","Shree Ashtavinayak Cine Vision IPO"
"141","Link Intime India Private Ltd","KLRF Limited FPO"
"142","Link Intime India Private Ltd","Sobha Developers Ltd IPO"
"143","Link Intime India Private Ltd","Ruchira Papers Limited IPO"
"144","Link Intime India Private Ltd","Blue Bird Limited IPO"
"145","Link Intime India Private Ltd","Lanco Infratech Limited IPO"
"146","Link Intime India Private Ltd","Parsvnath Developers Limited IPO"
"147","Link Intime India Private Ltd","Info Edge India Ltd (Naukri.com) IPO"
"148","Link Intime India Private Ltd","Development Credit Bank Ltd IPO"
"149","Link Intime India Private Ltd","Global Vectra Helicorp Ltd IPO"
"150","Link Intime India Private Ltd","Accel Frontline Limited IPO"
"151","Link Intime India Private Ltd","JHS Svendgaard Laboratories Ltd IPO"
"152","Link Intime India Private Ltd","Fiem Industries Limited IPO"
"153","Link Intime India Private Ltd","Richa Knits Limited IPO"
"154","Link Intime India Private Ltd","Gwalior Chemical Industries Ltd IPO"
"155","Link Intime India Private Ltd","Deep Industries Ltd IPO"
"156","Link Intime India Private Ltd","Voltamp Transformers Limited IPO"
"157","Karvy Computershare Private Limited","Parag Milk Foods Ltd IPO"
"158","Karvy Computershare Private Limited","Darshan Orna Limited IPO"
"159","Karvy Computershare Private Limited","Ujjivan Financial Services Ltd IPO"
"160","Karvy Computershare Private Limited","Equitas Holdings Limited IPO"
"161","Karvy Computershare Private Limited","Ruby Cables Ltd IPO"
"162","Karvy Computershare Private Limited","Bharat Wire Ropes Ltd IPO"
"163","Karvy Computershare Private Limited","Healthcare Global Enterprises Ltd IPO"
"164","Karvy Computershare Private Limited","Ganga Pharmaceuticals Ltd IPO"
"165","Karvy Computershare Private Limited","TeamLease Services Ltd IPO"
"166","Karvy Computershare Private Limited","Narayana Hrudayalaya Ltd IPO"
"167","Karvy Computershare Private Limited","Navigant Corporate Advisors Ltd IPO"
"168","Karvy Computershare Private Limited","Perfect Infraengineers Ltd IPO"
"169","Karvy Computershare Private Limited","Interglobe Aviation Ltd IPO"
"170","Karvy Computershare Private Limited","Vishal Bearings Ltd IPO"
"171","Karvy Computershare Private Limited","Bella Casa Fashion & Retail Limited IPO"
"172","Karvy Computershare Private Limited","Prabhat Dairy Limited IPO"
"173","Karvy Computershare Private Limited","Pennar Engineered Building Systems Ltd IPO"
"174","Karvy Computershare Private Limited","Universal Autofoundry Limited IPO"
"175","Karvy Computershare Private Limited","Power Mech Projects Ltd IPO"
"176","Karvy Computershare Private Limited","Mangalam Seeds Limited IPO"
"177","Karvy Computershare Private Limited","Syngene International Ltd IPO"
"178","Karvy Computershare Private Limited","M D Inducto Cast Ltd IPO"
"179","Karvy Computershare Private Limited","Ambition Mica Ltd IPO"
"180","Karvy Computershare Private Limited","Manpasand Beverages Ltd IPO"
"181","Karvy Computershare Private Limited","UFO Moviez Ltd IPO"
"182","Karvy Computershare Private Limited","VRL Logistics Ltd IPO"
"183","Karvy Computershare Private Limited","Ortel Communications Ltd IPO"
"184","Karvy Computershare Private Limited","Sharda Cropchem Ltd IPO"
"185","Karvy Computershare Private Limited","Wonderla Holidays Ltd IPO"
"186","Karvy Computershare Private Limited","Engineers India Limited FPO"
"187","Karvy Computershare Private Limited","Power Grid Corporation of India FPO"
"188","Karvy Computershare Private Limited","Just Dial Ltd IPO"
"189","Karvy Computershare Private Limited","Opal Luxury Time Products Ltd IPO"
"190","Karvy Computershare Private Limited","Repco Home Finance Ltd IPO"
"191","Karvy Computershare Private Limited","V-Mart Retail Ltd IPO"
"192","Karvy Computershare Private Limited","Bharti Infratel Limited IPO"
"193","Karvy Computershare Private Limited","PC Jeweller Ltd IPO"
"194","Karvy Computershare Private Limited","Credit Analysis & Research Ltd IPO"
"195","Karvy Computershare Private Limited","Jupiter Infomedia Ltd IPO"
"196","Karvy Computershare Private Limited","Tribhovandas Bhimji Zaveri Ltd IPO"
"197","Karvy Computershare Private Limited","Multi Commodity Exchange of India Ltd IPO"
"198","Karvy Computershare Private Limited","PG Electroplast Limited IPO"
"199","Karvy Computershare Private Limited","Bharatiya Global Infomedia Ltd IPO"
"200","Karvy Computershare Private Limited","Power Finance Corporation Ltd FPO"
"201","Karvy Computershare Private Limited","Innoventive Industries Ltd IPO"
"202","Karvy Computershare Private Limited","PTC India Financial Services Ltd IPO"
"203","Karvy Computershare Private Limited","Ravi Kumar Distilleries Ltd IPO"
"204","Karvy Computershare Private Limited","Shipping Corporation of India Ltd FPO"
"205","Karvy Computershare Private Limited","MOIL Limited IPO"
"206","Karvy Computershare Private Limited","Power Grid Corporation of India Ltd FPO"
"207","Karvy Computershare Private Limited","Gravita India Ltd IPO"
"208","Karvy Computershare Private Limited","BS Transcomm Ltd IPO"
"209","Karvy Computershare Private Limited","Commercial Engineers & Body Builders Co Ltd IPO"
"210","Karvy Computershare Private Limited","VA Tech Wabag Ltd IPO"
"211","Karvy Computershare Private Limited","Electrosteel Integrated Ltd IPO"
"212","Karvy Computershare Private Limited","Ramky Infrastructure Ltd IPO"
"213","Karvy Computershare Private Limited","Gujarat Pipavav Port Ltd (GPPL) IPO"
"214","Karvy Computershare Private Limited","Bajaj Corp Limited IPO"
"215","Karvy Computershare Private Limited","SKS Microfinance Ltd IPO"
"216","Karvy Computershare Private Limited","Hindustan Media Ventures Ltd IPO"
"217","Karvy Computershare Private Limited","Standard Chartered PLC IDRS"
"218","Karvy Computershare Private Limited","Jaypee Infratech Ltd IPO"
"219","Karvy Computershare Private Limited","Nitesh Estates Limited IPO"
"220","Karvy Computershare Private Limited","Goenka Diamond & Jewels Ltd IPO"
"221","Karvy Computershare Private Limited","NMDC Limited FPO"
"222","Karvy Computershare Private Limited","DQ Entertainment (International) Ltd IPO"
"223","Karvy Computershare Private Limited","Rural Electrification Corporation Ltd FPO"
"224","Karvy Computershare Private Limited","Texmo Pipes & Products Ltd IPO"
"225","Karvy Computershare Private Limited","NTPC Limited FPO"
"226","Karvy Computershare Private Limited","Vascon Engineers Limited IPO"
"227","Karvy Computershare Private Limited","D B Corp Limited IPO"
"228","Karvy Computershare Private Limited","Godrej Properties Limited IPO"
"229","Karvy Computershare Private Limited","JSW Energy Limited IPO"
"230","Karvy Computershare Private Limited","Cox and Kings (India) Limited IPO"
"231","Karvy Computershare Private Limited","Den Networks Limited IPO"
"232","Karvy Computershare Private Limited","Indiabulls Power Limited IPO"
"233","Karvy Computershare Private Limited","Thinksoft Global Services Ltd IPO"
"234","Karvy Computershare Private Limited","Pipavav Shipyard Limited IPO"
"235","Karvy Computershare Private Limited","Oil India Limited IPO"
"236","Karvy Computershare Private Limited","NHPC Limited IPO"
"237","Karvy Computershare Private Limited","Adani Power Limited IPO"
"238","Karvy Computershare Private Limited","Mahindra Holidays and Resorts India Ltd IPO"
"239","Karvy Computershare Private Limited","Edserv Softsystems Limited IPO"
"240","Karvy Computershare Private Limited","KSK Energy Ventures Ltd IPO"
"241","Karvy Computershare Private Limited","Archidply Industries Ltd IPO"
"242","Karvy Computershare Private Limited","Anu's Laboratories Limited IPO"
"243","Karvy Computershare Private Limited","Titagarh Wagons Limited IPO"
"244","Karvy Computershare Private Limited","Rural Electrification Corporation Ltd. IPO"
"245","Karvy Computershare Private Limited","IRB Infrastructure Developers Ltd IPO"
"246","Karvy Computershare Private Limited","Bang Overseas Limited IPO"
"247","Karvy Computershare Private Limited","OnMobile Global Limited IPO"
"248","Karvy Computershare Private Limited","J Kumar Infraprojects Limited IPO"
"249","Karvy Computershare Private Limited","Reliance Power Limited IPO"
"250","Karvy Computershare Private Limited","Brigade Enterprises Limited IPO"
"251","Karvy Computershare Private Limited","eClerx Services Limited IPO"
"252","Karvy Computershare Private Limited","Religare Enterprises Limited IPO"
"253","Karvy Computershare Private Limited","Maytas Infra Limited IPO"
"254","Karvy Computershare Private Limited","Consolidated Construction Consortium Ltd IPO"
"255","Karvy Computershare Private Limited","Koutons Retail India Limited IPO"
"256","Karvy Computershare Private Limited","Power Grid Corporation of India Ltd. IPO"
"257","Karvy Computershare Private Limited","K.P.R. Mill Limited IPO"
"258","Karvy Computershare Private Limited","IVR Prime Urban Developers Ltd IPO"
"259","Karvy Computershare Private Limited","Zylog Systems Limited IPO"
"260","Karvy Computershare Private Limited","BEML LTD (Bharat Earth Movers Ltd) FPO"
"261","Karvy Computershare Private Limited","Suryachakra Power Corporation Ltd IPO"
"262","Karvy Computershare Private Limited","Spice Communications Limited IPO"
"263","Karvy Computershare Private Limited","ICICI Bank Limited FPO"
"264","Karvy Computershare Private Limited","Celestial Labs Limited IPO"
"265","Karvy Computershare Private Limited","DLF Limited IPO"
"266","Karvy Computershare Private Limited","Power Finance Corporation Ltd. IPO"
"267","Karvy Computershare Private Limited","Tanla Solutions Ltd IPO"
"268","Karvy Computershare Private Limited","Hanung Toys And Textiles Ltd IPO"
"269","Karvy Computershare Private Limited","Gayatri Projects Limited IPO"
"270","Karvy Computershare Private Limited","HOV Services Limited IPO"
"271","Karvy Computershare Private Limited","Atlanta Limited IPO"
"272","Karvy Computershare Private Limited","Action Construction Equipment Ltd IPO"
"273","Karvy Computershare Private Limited","KEW Industries Limted IPO"
"274","Bigshare Services Pvt. Ltd","Nintec Systems Ltd IPO"
"275","Bigshare Services Pvt. Ltd","Raghav Ramming Mass Ltd IPO"
"276","Bigshare Services Pvt. Ltd","Lancer Containers Lines Ltd IPO"
"277","Bigshare Services Pvt. Ltd","Sysco Industries Ltd IPO"
"278","Bigshare Services Pvt. Ltd","Khemani Distributors & Marketing Ltd IPO"
"279","Bigshare Services Pvt. Ltd","Wealth First Portfolio Managers Ltd IPO"
"280","Bigshare Services Pvt. Ltd","K.P. Energy Ltd IPO"
"281","Bigshare Services Pvt. Ltd","Vidli Restaurants Ltd IPO"
"282","Bigshare Services Pvt. Ltd","OFS Technologies Ltd IPO"
"283","Bigshare Services Pvt. Ltd","Patdiam Jewellery Ltd IPO"
"284","Bigshare Services Pvt. Ltd","Ahimsa Industries Ltd IPO"
"285","Bigshare Services Pvt. Ltd","Shaival Reality Ltd IPO"
"286","Bigshare Services Pvt. Ltd","Sri Krishna Constructions (India) Ltd IPO"
"287","Bigshare Services Pvt. Ltd","Shree Pushkar Chemicals and Fertilisers Ltd IPO"
"288","Bigshare Services Pvt. Ltd","Emkay Taps and Cutting Tools Limited IPO"
"289","Bigshare Services Pvt. Ltd","MRSS India IPO"
"290","Bigshare Services Pvt. Ltd","Jiya Eco Products Ltd IPO"
"291","Bigshare Services Pvt. Ltd","Mishka Exim Ltd IPO"
"292","Bigshare Services Pvt. Ltd","Junction Fabrics and Apparels Ltd IPO"
"293","Bigshare Services Pvt. Ltd","O P Chains Ltd IPO"
"294","Bigshare Services Pvt. Ltd","Yogya Enterprises Ltd IPO"
"295","Bigshare Services Pvt. Ltd","Filtra Consultants and Engineers Ltd IPO"
"296","Bigshare Services Pvt. Ltd","Supreme (India) Impex Ltd IPO"
"297","Bigshare Services Pvt. Ltd","AGI Infra Ltd IPO"
"298","Bigshare Services Pvt. Ltd","Mahabir Metallex Ltd IPO"
"299","Bigshare Services Pvt. Ltd","SSPN Finance Ltd IPO"
"300","Bigshare Services Pvt. Ltd","Akme Star Housing Finance Ltd IPO"
"301","Bigshare Services Pvt. Ltd","Jet Infraventure Limited IPO"
"302","Bigshare Services Pvt. Ltd","JLA Infraville Shoppers Limited IPO"
"303","Bigshare Services Pvt. Ltd","Starlit Power Systems Limited IPO"
"304","Bigshare Services Pvt. Ltd","Powerhouse Fitness and Realty Ltd IPO"
"305","Bigshare Services Pvt. Ltd","ADCC Infocad Limited IPO"
"306","Bigshare Services Pvt. Ltd","Dhabriya Polywood Limited IPO"
"307","Bigshare Services Pvt. Ltd","Vibrant Global Capital Limited IPO"
"308","Bigshare Services Pvt. Ltd","Aryaman Capital Markets Ltd IPO"
"309","Bigshare Services Pvt. Ltd","Ultracab India Ltd IPO"
"310","Bigshare Services Pvt. Ltd","Naysaa Securities Ltd IPO"
"311","Bigshare Services Pvt. Ltd","R & B Denims Ltd IPO"
"312","Bigshare Services Pvt. Ltd","Oceanaa Biotek Industries Ltd IPO"
"313","Bigshare Services Pvt. Ltd","Anisha Impex Ltd IPO"
"314","Bigshare Services Pvt. Ltd","Karnimata Cold Storage Ltd IPO"
"315","Bigshare Services Pvt. Ltd","B C Power Controls Ltd IPO"
"316","Bigshare Services Pvt. Ltd","SI VI Shipping Corporation Ltd IPO"
"317","Bigshare Services Pvt. Ltd","Chemtech Industrial Valves Ltd IPO"
"318","Bigshare Services Pvt. Ltd","Tiger Logistics (India) Ltd IPO"
"319","Bigshare Services Pvt. Ltd","Kushal Tradelink Ltd IPO"
"320","Bigshare Services Pvt. Ltd","Silverpoint Infratech Ltd IPO"
"321","Bigshare Services Pvt. Ltd","Alacrity Securities Ltd IPO"
"322","Bigshare Services Pvt. Ltd","Kavita Fabrics Ltd IPO"
"323","Bigshare Services Pvt. Ltd","Veto Switchgears and Cables Ltd IPO"
"324","Bigshare Services Pvt. Ltd","VKS Projects Ltd IPO"
"325","Bigshare Services Pvt. Ltd","National Buildings Construction Corporation Ltd IPO"
"326","Bigshare Services Pvt. Ltd","M and B Switchgears Ltd IPO"
"327","Bigshare Services Pvt. Ltd","Taksheel Solutions Ltd IPO"
"328","Bigshare Services Pvt. Ltd","Prakash Constrowell Ltd IPO"
"329","Bigshare Services Pvt. Ltd","Readymade Steel India Ltd IPO"
"330","Bigshare Services Pvt. Ltd","Rushil Decor Ltd IPO"
"331","Bigshare Services Pvt. Ltd","Sanghvi Forging & Engineering Ltd IPO"
"332","Bigshare Services Pvt. Ltd","Fineotex Chemical Ltd IPO"
"333","Bigshare Services Pvt. Ltd","Omkar Speciality Chemicals Ltd IPO"
"334","Bigshare Services Pvt. Ltd","Prakash Steelage Ltd IPO"
"335","Bigshare Services Pvt. Ltd","Midfield Industries Ltd IPO"
"336","Bigshare Services Pvt. Ltd","Tarapur Transformers Limited IPO"
"337","Bigshare Services Pvt. Ltd","ARSS Infrastructure Projects Ltd IPO"
"338","Bigshare Services Pvt. Ltd","Infinite Computer Solutions India Ltd IPO"
"339","Bigshare Services Pvt. Ltd","Birla Shloka Edutech Limited FPO"
"340","Bigshare Services Pvt. Ltd","Astec LifeSciences Limited IPO"
"341","Bigshare Services Pvt. Ltd","Jindal Cotex Limited IPO"
"342","Bigshare Services Pvt. Ltd","Raj Oil Mills Limited IPO"
"343","Bigshare Services Pvt. Ltd","Chemcel Bio-tech Limited IPO"
"344","Bigshare Services Pvt. Ltd","Aishwarya Telecom Limited IPO"
"345","Bigshare Services Pvt. Ltd","GSS America Infotech Ltd IPO"
"346","Bigshare Services Pvt. Ltd","Kolte-Patil Developers Limited IPO"
"347","Bigshare Services Pvt. Ltd","Varun Industries Limited IPO"
"348","Bigshare Services Pvt. Ltd","Allied Computers International (Asia) Ltd IPO"
"349","Bigshare Services Pvt. Ltd","Supreme Infrastructure India Ltd IPO"
"350","Bigshare Services Pvt. Ltd","Kaveri Seed Company Limited IPO"
"351","Bigshare Services Pvt. Ltd","Magnum Ventures Limited IPO"
"352","Bigshare Services Pvt. Ltd","Indowind Energy Limited IPO"
"353","Bigshare Services Pvt. Ltd","Alpa Laboratories Limited IPO"
"354","Bigshare Services Pvt. Ltd","Roman Tarmat Limited IPO"
"355","Bigshare Services Pvt. Ltd","Nelcast Limited IPO"
"356","Bigshare Services Pvt. Ltd","Decolight Ceramics Limited IPO"
"357","Bigshare Services Pvt. Ltd","Nitin Fire Protection Industries Ltd IPO"
"358","Bigshare Services Pvt. Ltd","Glory Polyfilms Ltd IPO"
"359","Bigshare Services Pvt. Ltd","Binani Cement Limited IPO"
"360","Bigshare Services Pvt. Ltd","AMD Metplast Limited IPO"
"361","Bigshare Services Pvt. Ltd","Astral Poly Technik Limited IPO"
"362","Bigshare Services Pvt. Ltd","Vijayeswari Textiles Limited IPO"
"363","Bigshare Services Pvt. Ltd","Idea Cellular Limited IPO"
"364","Bigshare Services Pvt. Ltd","Mudra Lifestyle Limited IPO"
"365","Bigshare Services Pvt. Ltd","C & C Constructions Limited IPO"
"366","Bigshare Services Pvt. Ltd","Cambridge Technology Enterprises Ltd IPO"
"367","Bigshare Services Pvt. Ltd","Lumax Auto Technologies Ltd IPO"
"368","Bigshare Services Pvt. Ltd","Cairn India Ltd IPO"
"369","Bigshare Services Pvt. Ltd","Nissan Copper Ltd IPO"
"370","Bigshare Services Pvt. Ltd","Ess Dee Aluminium Ltd IPO"
"371","Bigshare Services Pvt. Ltd","XL Telecom Ltd IPO"
"372","Bigshare Services Pvt. Ltd","L.T. Overseas Limited IPO"
"373","Bigshare Services Pvt. Ltd","Gulshan Sugars & Chemicals Ltd FPO"
"374","Bigshare Services Pvt. Ltd","Zenith Birla (India) Limited FPO"
"375","Aarthi Consultansts Pvt Ltd.","Nu Tek India Limited IPO"
"376","Aarthi Consultansts Pvt Ltd.","Aries Agro Limited IPO"
"377","Aarthi Consultansts Pvt Ltd.","Saamya Biotech India Ltd IPO"
"378","Aarthi Consultansts Pvt Ltd.","SMS Pharmaceuticals Limited IPO"
"379","Aarthi Consultansts Pvt Ltd.","Pochiraju Industries Limited IPO"
"380","Enam Securities Private Limited","Housing Development and Infrastructure Ltd IPO"
"381","Cameo Corporate Services Limited","CHD Chemicals Ltd IPO"
"382","Cameo Corporate Services Limited","HEC Infra Projects Ltd IPO"
"383","Cameo Corporate Services Limited","Tejnaksh Healthcare Ltd IPO"
"384","Cameo Corporate Services Limited","Vaksons Automobiles Limited IPO"
"385","Cameo Corporate Services Limited","P. B. Films Limited IPO"
"386","Cameo Corporate Services Limited","Shareway Securities Ltd IPO"
"387","Cameo Corporate Services Limited","Edynamics Solutions Ltd IPO"
"388","Cameo Corporate Services Limited","HPC Biosciences Ltd IPO"
"389","Cameo Corporate Services Limited","Esteem Bio Organic Food Processing Ltd IPO"
"390","Cameo Corporate Services Limited","Eco Friendly Food Processing Park Ltd IPO"
"391","Cameo Corporate Services Limited","RCL Retail Limited IPO"
"392","Cameo Corporate Services Limited","Anshu's Clothing Limited IPO"
"393","Cameo Corporate Services Limited","Thejo Engineering Ltd IPO"
"394","Cameo Corporate Services Limited","Olympic Cards Ltd IPO"
"395","Cameo Corporate Services Limited","VMS Industries Ltd IPO"
"396","Cameo Corporate Services Limited","Midvalley Entertainment Ltd IPO"
